point,minutes,C,k_low,k_high
1,15.0,56.0,0.0,0.02461691507637283
2,30.0,54.0,0.0,0.013520712343882245
3,45.0,48.0,0.0021569269520695833,0.011631209021618903
4,90.0,34.0,0.004910024434831785,0.009647165469606447
5,105.0,27.0,0.006404055788063743,0.010464462389299168
6,120.0,25.0,0.006244890824023511,0.009797746600104509
7,135.0,21.0,0.006842520637241474,0.010000614660424583
8,150.0,15.0,0.008401416817658748,0.011243701438523544
9,165.0,11.0,0.00951737849062213,0.01210127360049922
10,180.0,11.0,0.00872426361640362,0.011092834133790952
11,210.0,8.0,0.008994386581291362,0.011024589881909075
12,225.0,6.0,0.009673347797879853,0.01156820421178972
